G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
62,2025-03-05,9:30p,Oklahoma City Thunder,103.0,120.0,38,24,L 4,16723,2:26,,L,Memphis Grizzlies,MEM,2025-03-11
63,2025-03-07,7:30p,Dallas Mavericks,122.0,111.0,39,24,W 1,20010,2:12,,W,Memphis Grizzlies,MEM,2025-03-11
64,2025-03-09,7:00p,New Orleans Pelicans,107.0,104.0,40,24,W 2,17435,2:20,,W,Memphis Grizzlies,MEM,2025-03-11
65,2025-03-10,8:00p,Phoenix Suns,120.0,118.0,41,24,W 3,16545,2:33,,W,Memphis Grizzlies,MEM,2025-03-11
66,2025-03-12,8:00p,Utah Jazz,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
67,2025-03-14,8:00p,Cleveland Cavaliers,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
68,2025-03-15,8:00p,Miami Heat,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
69,2025-03-17,10:00p,Sacramento Kings,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
70,2025-03-19,10:00p,Portland Trail Blazers,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
71,2025-03-21,10:30p,Los Angeles Clippers,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
72,2025-03-25,9:00p,Utah Jazz,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
73,2025-03-27,8:00p,Oklahoma City Thunder,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
74,2025-03-29,8:00p,Los Angeles Lakers,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
75,2025-03-31,7:30p,Boston Celtics,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
76,2025-04-01,8:00p,Golden State Warriors,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
77,2025-04-03,7:30p,Miami Heat,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
78,2025-04-05,7:00p,Detroit Pistons,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
79,2025-04-08,7:00p,Charlotte Hornets,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
80,2025-04-10,9:30p,Minnesota Timberwolves,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Memphis Grizzlies,MEM,2025-03-11
81,2025-04-11,9:00p,Denver Nuggets,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
82,2025-04-13,3:30p,Dallas Mavericks,,,,,,,,,,Memphis Grizzlies,MEM,2025-03-11
