G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
71,2025-03-24,10:00p,Boston Celtics,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
72,2025-03-25,10:00p,Oklahoma City Thunder,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
73,2025-03-27,10:00p,Portland Trail Blazers,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
74,2025-03-29,5:00p,Orlando Magic,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
75,2025-03-31,7:00p,Indiana Pacers,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
76,2025-04-02,7:00p,Washington Wizards,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
77,2025-04-04,7:00p,Charlotte Hornets,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
78,2025-04-06,6:00p,Cleveland Cavaliers,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
79,2025-04-07,7:00p,Detroit Pistons,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
80,2025-04-09,10:00p,Denver Nuggets,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Sacramento Kings,SAC,2025-03-11
81,2025-04-11,10:00p,Los Angeles Clippers,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
82,2025-04-13,3:30p,Phoenix Suns,,,,,,,,,,Sacramento Kings,SAC,2025-03-11
