G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date
59,2025-02-26,7:30p,Miami Heat,109.0,131.0,27,32,L 1,19600,2:02,,L,Atlanta Hawks,ATL,2025-03-11
60,2025-02-28,7:30p,Oklahoma City Thunder,119.0,135.0,27,33,L 2,17712,2:04,,L,Atlanta Hawks,ATL,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Atlanta Hawks,ATL,2025-03-11
61,2025-03-03,8:00p,Memphis Grizzlies,132.0,130.0,28,33,W 1,15719,2:13,,W,Atlanta Hawks,ATL,2025-03-11
62,2025-03-04,7:30p,Milwaukee Bucks,121.0,127.0,28,34,L 1,16008,2:12,,L,Atlanta Hawks,ATL,2025-03-11
63,2025-03-06,7:30p,Indiana Pacers,124.0,118.0,29,34,W 1,15656,2:14,,W,Atlanta Hawks,ATL,2025-03-11
64,2025-03-08,7:30p,Indiana Pacers,120.0,118.0,30,34,W 2,17057,2:32,,W,Atlanta Hawks,ATL,2025-03-11
65,2025-03-10,7:30p,Philadelphia 76ers,132.0,123.0,31,34,W 3,15269,2:12,,W,Atlanta Hawks,ATL,2025-03-11
66,2025-03-12,7:30p,Charlotte Hornets,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
67,2025-03-14,7:30p,Los Angeles Clippers,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
68,2025-03-16,6:00p,Brooklyn Nets,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
69,2025-03-18,7:00p,Charlotte Hornets,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
70,2025-03-22,7:00p,Golden State Warriors,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
71,2025-03-23,6:00p,Philadelphia 76ers,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
72,2025-03-25,8:00p,Houston Rockets,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
73,2025-03-27,7:30p,Miami Heat,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
74,2025-03-30,7:00p,Milwaukee Bucks,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
75,2025-04-01,7:30p,Portland Trail Blazers,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
76,2025-04-02,8:30p,Dallas Mavericks,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
77,2025-04-05,3:00p,New York Knicks,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
78,2025-04-06,6:00p,Utah Jazz,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
79,2025-04-08,7:00p,Orlando Magic,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
80,2025-04-10,7:30p,Brooklyn Nets,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Atlanta Hawks,ATL,2025-03-11
81,2025-04-11,7:00p,Philadelphia 76ers,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
82,2025-04-13,1:00p,Orlando Magic,,,,,,,,,,Atlanta Hawks,ATL,2025-03-11
