G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
60,2025-03-03,7:00p,Portland Trail Blazers,102.0,119.0,21,39,L 1,19776,2:01,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
61,2025-03-04,8:00p,Minnesota Timberwolves,112.0,126.0,21,40,L 2,17297,2:11,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
62,2025-03-06,7:30p,Boston Celtics,105.0,123.0,21,41,L 3,19156,2:12,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
63,2025-03-09,7:30p,Utah Jazz,126.0,122.0,22,41,W 1,19757,2:20,,W,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
64,2025-03-10,7:30p,Atlanta Hawks,123.0,132.0,22,42,L 1,15269,2:12,,L,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
65,2025-03-12,7:30p,Toronto Raptors,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
66,2025-03-14,7:00p,Indiana Pacers,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
67,2025-03-16,1:00p,Dallas Mavericks,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
68,2025-03-17,8:00p,Houston Rockets,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
69,2025-03-19,8:00p,Oklahoma City Thunder,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
70,2025-03-21,8:00p,San Antonio Spurs,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
71,2025-03-23,6:00p,Atlanta Hawks,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
72,2025-03-24,8:00p,New Orleans Pelicans,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
73,2025-03-26,7:00p,Washington Wizards,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
74,2025-03-29,7:30p,Miami Heat,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
75,2025-03-30,7:30p,Toronto Raptors,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
76,2025-04-01,7:30p,New York Knicks,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
77,2025-04-03,7:30p,Milwaukee Bucks,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
78,2025-04-05,7:00p,Minnesota Timberwolves,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
79,2025-04-07,7:30p,Miami Heat,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
80,2025-04-09,7:00p,Washington Wizards,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
81,2025-04-11,7:00p,Atlanta Hawks,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
82,2025-04-13,1:00p,Chicago Bulls,,,,,,,,,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Philadelphia 76ers,PHI,2025-03-11,@,False,0.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Philadelphia 76ers,PHI,2025-03-11,,True,1.0
