G,Date,Start (ET),Opponent,Tm,Opp,W,L,Streak,Attend.,LOG,Notes,Result,Team,TeamAbbr,Scraped_Date,Location,Home,gameLocation
64,2025-03-10,7:30p,Miami Heat,105.0,102.0,16,48,W 2,19600,2:15,,W,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
65,2025-03-12,7:30p,Atlanta Hawks,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
66,2025-03-14,8:00p,San Antonio Spurs,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
67,2025-03-16,7:00p,Los Angeles Clippers,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
68,2025-03-18,7:00p,Atlanta Hawks,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
69,2025-03-20,7:00p,New York Knicks,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
70,2025-03-21,8:00p,Oklahoma City Thunder,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
71,2025-03-23,6:00p,Miami Heat,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
72,2025-03-25,7:00p,Orlando Magic,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
73,2025-03-28,7:30p,Toronto Raptors,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
74,2025-03-30,7:00p,New Orleans Pelicans,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
75,2025-03-31,7:00p,Utah Jazz,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
76,2025-04-02,7:00p,Indiana Pacers,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
77,2025-04-04,7:00p,Sacramento Kings,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
78,2025-04-06,1:00p,Chicago Bulls,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
79,2025-04-08,7:00p,Memphis Grizzlies,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,@,False,0.0
80,2025-04-09,7:30p,Toronto Raptors,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
81,2025-04-11,7:30p,Boston Celtics,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
82,2025-04-13,1:00p,Boston Celtics,,,,,,,,,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
G,,Start (ET),Opponent,,,W,L,Streak,Attend.,LOG,Notes,,Charlotte Hornets,CHO,2025-03-11,,True,1.0
